FrameCount, Within Perception?, Within Eating Distance?, Action
932,0,0,follow
933,0,0,follow
934,0,0,follow
935,0,0,follow
936,0,0,follow
937,0,0,follow
938,0,0,follow
939,0,0,follow
940,0,0,follow
941,0,0,follow
942,0,0,follow
943,0,0,follow
944,0,0,follow
945,0,0,follow
946,0,0,follow
947,0,0,follow
948,0,0,follow
949,0,0,follow
950,0,0,follow
951,0,0,follow
952,0,0,follow
953,0,0,follow
954,0,0,follow
955,0,0,follow
956,0,0,follow
957,0,0,follow
958,0,0,follow
959,0,0,follow
960,0,0,follow
961,0,0,follow
962,0,0,follow
963,0,0,follow
964,0,0,follow
965,0,0,follow
966,0,0,follow
967,0,0,follow
968,0,0,follow
969,0,0,follow
970,0,0,follow
971,0,0,follow
972,0,0,follow
973,0,0,follow
974,0,0,follow
975,0,0,follow
976,0,0,follow
977,0,0,follow
978,0,0,follow
979,0,0,follow
980,0,0,follow
981,0,0,follow
982,0,0,follow
983,0,0,follow
984,0,0,follow
985,0,0,follow
986,0,0,follow
987,0,0,follow
988,0,0,follow
989,0,0,follow
990,0,0,follow
991,0,0,follow
992,0,0,follow
993,0,0,follow
994,0,0,follow
995,0,0,follow
996,0,0,follow
997,0,0,follow
998,0,0,follow
999,0,0,follow
1000,0,0,follow
1001,0,0,follow
1002,0,0,follow
1003,0,0,follow
1004,0,0,follow
1005,0,0,follow
1006,0,0,follow
1007,0,0,follow
1008,0,0,follow
1009,0,0,follow
1010,0,0,follow
1011,0,0,follow
1012,0,0,follow
1013,0,0,follow
1014,0,0,follow
1015,0,0,follow
1016,0,0,follow
1017,0,0,follow
1018,0,0,follow
1019,0,0,follow
1020,0,0,follow
1021,0,0,follow
1022,0,0,follow
1023,0,0,follow
1024,0,0,follow
1025,0,0,follow
1026,0,0,follow
1027,0,0,follow
1028,0,0,follow
1029,0,0,follow
1030,0,0,follow
1031,0,0,follow
1032,0,0,follow
1033,0,0,follow
1034,0,0,follow
1035,0,0,follow
1036,0,0,follow
1037,0,0,follow
1038,0,0,follow
1039,0,0,follow
1040,0,0,follow
1041,0,0,follow
1042,0,0,follow
1043,0,0,follow
1044,0,0,follow
1045,0,0,follow
1046,0,0,follow
1047,0,0,follow
1048,0,0,follow
1049,0,0,follow
1050,0,0,follow
1051,0,0,follow
1052,0,0,follow
1053,0,0,follow
1054,0,0,follow
1055,0,0,follow
1056,0,0,follow
1057,0,0,follow
1058,0,0,follow
1059,0,0,follow
1060,0,0,follow
1061,0,0,follow
1062,0,0,follow
1063,0,0,follow
1064,0,0,follow
1065,0,0,follow
1066,0,0,follow
1067,0,0,follow
1068,0,0,follow
1069,0,0,follow
1070,0,0,follow
1071,0,0,follow
1072,0,0,follow
1073,0,0,follow
1074,0,0,follow
1075,0,0,follow
1076,0,0,follow
1077,0,0,follow
1078,0,0,follow
1079,0,0,follow
1080,0,0,follow
1081,0,0,follow
1082,0,0,follow
1083,0,0,follow
1084,0,0,follow
1085,0,0,follow
1086,0,0,follow
1087,0,0,follow
1088,0,0,follow
1089,0,0,follow
1090,0,0,follow
1091,0,0,follow
1092,0,0,follow
1093,0,0,follow
1094,0,0,follow
1095,0,0,follow
1096,0,0,follow
1097,0,0,follow
1098,0,0,follow
1099,0,0,follow
1100,0,0,follow
1101,0,0,follow
1102,0,0,follow
1103,0,0,follow
1104,0,0,follow
1105,0,0,follow
1106,0,0,follow
1107,0,0,follow
1108,0,0,follow
1109,0,0,follow
1110,0,0,follow
1111,0,0,follow
1112,0,0,follow
1113,0,0,follow
1114,0,0,follow
1115,0,0,follow
1116,0,0,follow
1117,0,0,follow
1118,0,0,follow
1119,0,0,follow
1120,0,0,follow
1121,0,0,follow
1122,0,0,follow
1123,0,0,follow
1124,0,0,follow
1125,0,0,follow
1126,0,0,follow
1127,0,0,follow
1128,0,0,follow
1129,0,0,follow
1130,0,0,follow
1131,0,0,follow
1132,0,0,follow
1133,0,0,follow
1134,0,0,follow
1135,0,0,follow
1136,0,0,follow
1137,0,0,follow
1138,0,0,follow
1139,0,0,follow
1140,0,0,follow
1141,0,0,follow
1142,0,0,follow
1143,0,0,follow
1144,0,0,follow
1145,0,0,follow
1146,0,0,follow
1147,0,0,follow
1148,0,0,follow
1149,0,0,follow
1150,0,0,follow
1151,0,0,follow
1152,0,0,follow
1153,0,0,follow
1154,0,0,follow
1155,0,0,follow
1156,0,0,follow
1157,0,0,follow
1158,0,0,follow
1159,0,0,follow
1160,0,0,follow
1161,0,0,follow
1162,0,0,follow
1163,0,0,follow
1164,0,0,follow
1165,0,0,follow
1166,0,0,follow
1167,0,0,follow
1168,0,0,follow
1169,0,0,follow
1170,0,0,follow
1171,0,0,follow
1172,0,0,follow
1173,0,0,follow
1174,0,0,follow
1175,0,0,follow
1176,0,0,follow
1177,0,0,follow
1178,0,0,follow
1179,0,0,follow
1180,0,0,follow
1181,0,0,follow
1182,0,0,follow
1183,0,0,follow
1184,0,0,follow
1185,0,0,follow
1186,0,0,follow
1187,0,0,follow
1188,0,0,follow
1189,0,0,follow
1190,0,0,follow
1191,0,0,follow
1192,0,0,follow
1193,0,0,follow
1194,0,0,follow
1195,0,0,follow
1196,0,0,follow
1197,0,0,follow
1198,0,0,follow
1199,0,0,follow
1200,0,0,follow
1201,0,0,follow
1202,0,0,follow
1203,0,0,follow
1204,0,0,follow
1205,0,0,follow
1206,0,0,follow
1207,0,0,follow
1208,0,0,follow
1209,0,0,follow
1210,0,0,follow
1211,0,0,follow
1212,0,0,follow
1213,0,0,follow
1214,0,0,follow
1215,0,0,follow
1216,0,0,follow
1217,0,0,follow
1218,0,0,follow
1219,0,0,follow
1220,0,0,follow
1221,0,0,follow
1222,0,0,follow
1223,0,0,follow
1224,0,0,follow
1225,0,0,follow
1226,0,0,follow
1227,0,0,follow
1228,0,0,follow
1229,0,0,follow
1230,0,0,follow
1231,0,0,follow
1232,0,0,follow
1233,0,0,follow
1234,0,0,follow
1235,0,0,follow
1236,0,0,follow
1237,0,0,follow
1238,0,0,follow
1239,0,0,follow
1240,0,0,follow
1241,0,0,follow
1242,0,0,follow
1243,0,0,follow
1244,0,0,follow
1245,0,0,follow
1246,0,0,follow
1247,0,0,follow
1248,0,0,follow
1249,0,0,follow
1250,0,0,follow
1251,0,0,follow
1252,0,0,follow
1253,0,0,follow
1254,0,0,follow
1255,0,0,follow
1256,0,0,follow
1257,0,0,follow
1258,0,0,follow
1259,0,0,follow
1260,0,0,follow
1261,0,0,follow
1262,0,0,follow
1263,0,0,follow
1264,0,0,follow
1265,0,0,follow
1266,0,0,follow
1267,0,0,follow
1268,0,0,follow
1269,0,0,follow
1270,0,0,follow
1271,0,0,follow
1272,0,0,follow
1273,0,0,follow
1274,0,0,follow
1275,0,0,follow
1276,0,0,follow
1277,0,0,follow
1278,0,0,follow
1279,0,0,follow
1280,0,0,follow
1281,0,0,follow
1282,0,0,follow
1283,0,0,follow
1284,0,0,follow
1285,0,0,follow
1286,0,0,follow
1287,0,0,follow
1288,0,0,follow
1289,0,0,follow
1290,0,0,follow
1291,0,0,follow
1292,0,0,follow
1293,0,0,follow
1294,0,0,follow
1295,0,0,follow
1296,0,0,follow
1297,0,0,follow
1298,0,0,follow
1299,0,0,follow
1300,0,0,follow
1301,0,0,follow
1302,0,0,follow
1303,0,0,follow
1304,0,0,follow
1305,0,0,follow
1306,0,0,follow
1307,0,0,follow
1308,0,0,follow
1309,0,0,follow
1310,0,0,follow
1311,0,0,follow
1312,0,0,follow
1313,0,0,follow
1314,0,0,follow
1315,0,0,follow
1316,0,0,follow
1317,0,0,follow
1318,0,0,follow
1319,0,0,follow
1320,0,0,follow
1321,0,0,follow
1322,0,0,follow
1323,0,0,follow
1324,0,0,follow
1325,0,0,follow
1326,0,0,follow
1327,0,0,follow
1328,0,0,follow
1329,0,0,follow
1330,0,0,follow
1331,0,0,follow
1332,0,0,follow
1333,0,0,follow
1334,0,0,follow
1335,0,0,follow
1336,0,0,follow
1337,0,0,follow
1338,0,0,follow
1339,0,0,follow
1340,0,0,follow
1341,0,0,follow
1342,0,0,follow
1343,0,0,follow
1344,0,0,follow
1345,0,0,follow
1346,0,0,follow
1347,0,0,follow
1348,0,0,follow
1349,0,0,follow
1350,0,0,follow
1351,0,0,follow
1352,0,0,follow
1353,0,0,follow
1354,0,0,follow
1355,0,0,follow
1356,0,0,follow
1357,0,0,follow
1358,0,0,follow
1359,0,0,follow
1360,0,0,follow
1361,0,0,follow
1362,0,0,follow
1363,0,0,follow
1364,0,0,follow
1365,0,0,follow
1366,0,0,follow
1367,0,0,follow
1368,0,0,follow
1369,0,0,follow
1370,0,0,follow
1371,0,0,follow
1372,0,0,follow
1373,0,0,follow
1374,0,0,follow
1375,0,0,follow
1376,0,0,follow
1377,0,0,follow
1378,0,0,follow
1379,0,0,follow
1380,0,0,follow
1381,0,0,follow
1382,0,0,follow
1383,0,0,follow
1384,0,0,follow
1385,0,0,follow
1386,0,0,follow
1387,0,0,follow
1388,0,0,follow
1389,0,0,follow
1390,0,0,follow
1391,0,0,follow
1392,0,0,follow
1393,0,0,follow
1394,0,0,follow
1395,0,0,follow
1396,0,0,follow
1397,0,0,follow
1398,0,0,follow
1399,0,0,follow
1400,0,0,follow
1401,0,0,follow
1402,0,0,follow
1403,0,0,follow
1404,0,0,follow
1405,0,0,follow
1406,0,0,follow
1407,0,0,follow
1408,0,0,follow
1409,0,0,follow
1410,0,0,follow
1411,0,0,follow
1412,0,0,follow
1413,0,0,follow
1414,0,0,follow
1415,0,0,follow
1416,0,0,follow
1417,0,0,follow
1418,0,0,follow
1419,0,0,follow
1420,0,0,follow
1421,0,0,follow
1422,0,0,follow
1423,0,0,follow
1424,0,0,follow
1425,0,0,follow
1426,0,0,follow
1427,0,0,follow
1428,0,0,follow
1429,0,0,follow
1430,0,0,follow
1431,0,0,follow
1432,0,0,follow
1433,0,0,follow
1434,0,0,follow
1435,0,0,follow
1436,0,0,follow
1437,0,0,follow
1438,0,0,follow
1439,0,0,follow
1440,0,0,follow
1441,0,0,follow
1442,0,0,follow
1443,0,0,follow
1444,0,0,follow
1445,0,0,follow
1446,0,0,follow
1447,0,0,follow
1448,0,0,follow
1449,0,0,follow
1450,0,0,follow
1451,0,0,follow
1452,0,0,follow
1453,0,0,follow
1454,0,0,follow
1455,0,0,follow
1456,0,0,follow
1457,0,0,follow
1458,0,0,follow
1459,0,0,follow
1460,0,0,follow
1461,0,0,follow
1462,0,0,follow
1463,0,0,follow
1464,0,0,follow
1465,0,0,follow
1466,0,0,follow
1467,0,0,follow
1468,0,0,follow
1469,0,0,follow
1470,0,0,follow
1471,0,0,follow
1472,0,0,follow
1473,0,0,follow
1474,0,0,follow
1475,0,0,follow
1476,0,0,follow
1477,0,0,follow
1478,0,0,follow
1479,0,0,follow
1480,0,0,follow
1481,0,0,follow
1482,0,0,follow
1483,0,0,follow
1484,0,0,follow
1485,0,0,follow
1486,0,0,follow
1487,0,0,follow
1488,0,0,follow
1489,0,0,follow
